rgn_id,year,Ep
1,1990,0.0212189
1,1991,0.0207464
1,1992,0.0213327
1,1993,0.022476
1,1994,0.0242505
1,1995,0.0245548
1,1996,0.0254767
1,1997,0.0255359
1,1998,0.0265191
1,1999,0.0268845
1,2000,0.0297546
1,2001,0.0308947
1,2002,0.0319029
1,2003,0.0297127
1,2004,0.0309989
1,2005,0.0316049
1,2006,0.0304887
1,2007,0.0331978
1,2008,0.0359091
1,2009,0.0355364
1,2010,0.0364648
1,2011,0.0381988
1,2012,0.0387761
1,2013,0.0385695
1,2014,0.0389875
1,1988,0.021334
1,1989,0.0208711
1,2015,0.0366341
1,2016,0.0374551
1,2017,0.037173
1,2018,0.0362575
1,2019,0.0353511
1,2020,0.035814
1,2021,0.0359891
1,2022,0.0362686
1,2023,0.0368282
1,2024,0.0368297
1,2025,0.0370092
1,2026,0.0370503
2,1990,0.0212189
2,1991,0.0207464
2,1992,0.0213327
2,1993,0.022476
2,1994,0.0242505
2,1995,0.0245548
2,1996,0.0254767
2,1997,0.0255359
2,1998,0.0265191
2,1999,0.0268845
2,2000,0.0297546
2,2001,0.0308947
2,2002,0.0319029
2,2003,0.0297127
2,2004,0.0309989
2,2005,0.0316049
2,2006,0.0304887
2,2007,0.0331978
2,2008,0.0359091
2,2009,0.0355364
2,2010,0.0364648
2,2011,0.0381988
2,2012,0.0387761
2,2013,0.0385695
2,2014,0.0389875
2,1988,0.021334
2,1989,0.0208711
2,2015,0.0366341
2,2016,0.0374551
2,2017,0.037173
2,2018,0.0362575
2,2019,0.0353511
2,2020,0.035814
2,2021,0.0359891
2,2022,0.0362686
2,2023,0.0368282
2,2024,0.0368297
2,2025,0.0370092
2,2026,0.0370503
3,1990,0.0212189
3,1991,0.0207464
3,1992,0.0213327
3,1993,0.022476
3,1994,0.0242505
3,1995,0.0245548
3,1996,0.0254767
3,1997,0.0255359
3,1998,0.0265191
3,1999,0.0268845
3,2000,0.0297546
3,2001,0.0308947
3,2002,0.0319029
3,2003,0.0297127
3,2004,0.0309989
3,2005,0.0316049
3,2006,0.0304887
3,2007,0.0331978
3,2008,0.0359091
3,2009,0.0355364
3,2010,0.0364648
3,2011,0.0381988
3,2012,0.0387761
3,2013,0.0385695
3,2014,0.0389875
3,1988,0.021334
3,1989,0.0208711
3,2015,0.0366341
3,2016,0.0374551
3,2017,0.037173
3,2018,0.0362575
3,2019,0.0353511
3,2020,0.035814
3,2021,0.0359891
3,2022,0.0362686
3,2023,0.0368282
3,2024,0.0368297
3,2025,0.0370092
3,2026,0.0370503
4,1990,0.0212189
4,1991,0.0207464
4,1992,0.0213327
4,1993,0.022476
4,1994,0.0242505
4,1995,0.0245548
4,1996,0.0254767
4,1997,0.0255359
4,1998,0.0265191
4,1999,0.0268845
4,2000,0.0297546
4,2001,0.0308947
4,2002,0.0319029
4,2003,0.0297127
4,2004,0.0309989
4,2005,0.0316049
4,2006,0.0304887
4,2007,0.0331978
4,2008,0.0359091
4,2009,0.0355364
4,2010,0.0364648
4,2011,0.0381988
4,2012,0.0387761
4,2013,0.0385695
4,2014,0.0389875
4,1988,0.021334
4,1989,0.0208711
4,2015,0.0366341
4,2016,0.0374551
4,2017,0.037173
4,2018,0.0362575
4,2019,0.0353511
4,2020,0.035814
4,2021,0.0359891
4,2022,0.0362686
4,2023,0.0368282
4,2024,0.0368297
4,2025,0.0370092
4,2026,0.0370503
5,1990,0.0212189
5,1991,0.0207464
5,1992,0.0213327
5,1993,0.022476
5,1994,0.0242505
5,1995,0.0245548
5,1996,0.0254767
5,1997,0.0255359
5,1998,0.0265191
5,1999,0.0268845
5,2000,0.0297546
5,2001,0.0308947
5,2002,0.0319029
5,2003,0.0297127
5,2004,0.0309989
5,2005,0.0316049
5,2006,0.0304887
5,2007,0.0331978
5,2008,0.0359091
5,2009,0.0355364
5,2010,0.0364648
5,2011,0.0381988
5,2012,0.0387761
5,2013,0.0385695
5,2014,0.0389875
5,1988,0.021334
5,1989,0.0208711
5,2015,0.0366341
5,2016,0.0374551
5,2017,0.037173
5,2018,0.0362575
5,2019,0.0353511
5,2020,0.035814
5,2021,0.0359891
5,2022,0.0362686
5,2023,0.0368282
5,2024,0.0368297
5,2025,0.0370092
5,2026,0.0370503
