Type,Number,Latitude_DDMMSS,Longitude_DDMMSS
CFA,12B,48 30 00,60 00 00
CFA,12B,49 00 00,63 00 00
CFA,12B,49 40 20,64 54 50
CFA,12B,49 51 50,64 31 26
CFA,12C,49 52 00,61 30 30
CFA,12C,49 52 00,60 03 45
CFA,12C,49 52 00,59 30 00
CFA,12C,49 25 00,60 00 00
CFA,12C,49 05 00,60 00 00
CFA,12C,49 05 00,61 12 00
CFA,12F,47 44 30,60 25 15
CFA,12F,47 21 30,60 16 00
CFA,12F,47 18 30,60 18 00
CFA,12F,47 16 25,60 17 40
CFA,12F,47 30 00,60 43 20
CFA,12F,47 26 45,61 00 00
CFA,12F,47 50 00,61 08 27
CFA,12F,47 58 30,61 07 30
CFA,12F,48 02 30,61 07 00
CFA,13,52 15 00,55 40 00
CFA,13,52 15 00,55 26 00
CFA,13,51 38 00,55 26 00
CFA,13,50 21 36,57 31 42
CFA,13,50 33 45,58 18 30
CFA,13,51 04 49,58 46 27
CFA,14,51 04 49,58 46 27
CFA,14,50 33 45,58 18 30
CFA,14,49 52 00,59 30 00
CFA,14,49 52 00,60 03 45
CFA,14,50 12 30,60 20 30
CFA,15,50 12 30,60 20 30
CFA,15,49 52 00,60 03 45
CFA,15,49 52 00,61 30 30
CFA,15,49 52 00,61 50 30
CFA,15,50 11 30,61 50 30
CFA,16,50 11 30,61 50 30
CFA,16,49 52 00,61 50 30
CFA,16,49 28 48,62 19 48
CFA,16,49 51 50,64 31 26
CFA,16,49 40 20,64 54 50
CFA,16,49 21 25,65 35 30
CFA,16,49 19 00,65 41 30
CFA,16,49 19 00,67 22 52
CFA,16A,49 52 00,61 50 30
CFA,16A,49 52 00,61 30 30
CFA,16A,49 05 00,61 12 00
CFA,16A,49 05 00,61 42 00
CFA,16A,49 28 48,62 19 48
CFA,17,49 19 00,67 22 52
CFA,17,49 19 00,65 41 30
CFA,17,49 13 15,65 53 30
CFA,12,45 58 00,61 32 00
CFA,12,45 59 00,61 36 00
CFA,12,46 18 01,62 20 00
CFA,12,47 03 30,64 00 00
CFA,12,47 15 00,64 00 00
CFA,12,46 37 30,61 30 15
CFA,12,47 30 00,60 43 20
CFA,12,47 26 45,61 00 00
CFA,12,47 50 00,61 08 25
CFA,12,47 58 30,61 07 30
CFA,12,48 31 00,63 08 30
CFA,12,49 00 00,63 08 30
CFA,12,49 40 20,64 54 50
CFA,12,49 21 25,65 35 30
CFA,12,49 17 00,64 44 00
CFA,12,48 53 30,63 48 54
CFA,12,48 45 18,64 09 54
CFA,18,45 58 00,61 32 00
CFA,18,45 59 00,61 36 00
CFA,18,46 09 00,61 57 00
CFA,18,46 33 15,61 34 12
CFA,18,46 21 40,61 11 09
CFA,25,46 09 00,61 57 00
CFA,25,46 18 01,62 20 00
CFA,25,46 27 00,61 58 00
CFA,25,46 45 00,62 00 00
CFA,25,46 37 30,61 30 15
CFA,26,47 03 30,64 00 00
CFA,26,47 15 00,64 00 00
CFA,26,46 45 00,62 00 00
CFA,26,46 27 00,61 58 00
CFA,12E,47 58 30,61 07 30
CFA,12E,48 02 30,61 07 00
CFA,12E,49 00 00,63 08 30
CFA,12E,48 31 00,63 08 30
CFA,12F,47 18 30,60 18 00
CFA,12F,47 21 30,60 16 00
CFA,12F,47 44 30,60 25 15
CFA,12F,48 02 30,61 07 00
CFA,12F,47 58 30,61 07 30
CFA,12F,47 50 00,61 08 25
CFA,12F,47 26 45,61 00 00
CFA,12F,47 30 00,60 43 20
CFA,12F,47 32 12,60 42 15
CFA,19,46 25 40,61 07 00
CFA,19,46 37 30,61 30 15
CFA,19,47 30 00,60 43 20
CFA,19,47 16 25,60 17 40
CFA,19,47 02 15,60 24 55
CFA,12NL,,
